"","lake","year_loess","depth","ASTFO","AULAM","STAVE","TABFL","PSEEL","NAVCR","NITPE","PINSU","PSEBR","SELAU","FRACR","STACO","AULGR","AULSU","LININ","TABFE","ACHMI","FRAME","SELNI","STAPI","SELSA","DISPS","AULTE","PSEBRI","LINCO","PSERO","MYX","ALL","DIA","LUT","CAN","ECH","PHEB","PHEA","BCAR","orgC_burial_g_cm2_yr","dC/dt","Labile P","recalcitrant","Fe-bound P","mobile"
"1","burnt",2018.2741306454,2,15.25,36.5,15.25,18.75,4.75,0,0,0,0.25,0,3,0,0,0,0.5,0,0.5,0,1,0.5,0.25,0,0,0.75,0.25,0,3.72329000437825,17.7010354510785,12.9293128594317,20.9680056728724,8.11330103824346,4.52884183419895,31.8407523816019,34.5359896960441,7.31190433132552,0.00681292303618287,NA,0.298515408981343,0.589469184933846,0.112015406117372,0.410530815098715
"2","burnt",2009.98885613295,4,11.75,32.75,22.5,16.5,5.75,0,0,0,0,0,4,0,0,0.25,1.25,0,0,0,1,0,0.5,0,0,1,0,0,2.5195410867622,10.7829755415887,8.62280053193734,12.0031272048876,5.99596610399001,2.14427926424297,19.7477487096432,17.1634895584247,1.896747874104,0.00581121669842849,0.0112300699544784,0.329099355023811,0.57992114982669,0.0909794951240852,0.420078850147896
"3","burnt",2005.56143171556,5,18,35.5,16.5,15.5,3.5,0,0,0,0.25,0,3,0.5,0,0,1,0,0,0,1,1,0.25,0.25,0,0.25,0,0,2.18046852899597,10.5039215228745,7.48827420975933,11.0240250342885,5.67087937328767,2.44474106376781,21.5276189905356,20.7858625448948,3.17811153334607,0.00552137886119982,0.006546420896317,0.338881700297412,0.578526389043562,0.0825919106204057,0.421473610917818
"4","burnt",2000.94401975649,6,12.25,40.25,15.25,15.25,8.25,0,0,0,0.25,0,2.25,0.25,0,0,0.75,0,0.25,0,1,0,0.25,0.25,0,1,0.25,0,2.34960155680643,10.1492062417536,7.60558605281399,11.39098947909,5.85219512347793,2.76216301135668,28.4628933225513,27.0998250029285,4.89681510908613,0.00522219240751468,0.00647952698042126,0.324170191119256,0.596879490805149,0.078950318044636,0.403120509163892
"5","burnt",1996.12934758546,7,10.5,30.75,17.75,14.75,13,0,0,0,0,0,3.5,0.5,0,0.25,1,0,0.5,0,0.75,0.75,1,0.25,0,0.5,0,0,3.36406789920841,9.66344535669765,6.75151907184614,11.473846526055,2.60886728443159,2.70741818493364,33.7492042786773,34.1169621454761,5.22479891275627,0.00498113880935248,0.00500664613496698,0.315430886282509,0.600372253004019,0.0841968606574647,0.399627746939974
"6","burnt",1991.11014253217,8,10.5,30.75,17.75,14.75,13,0,0,0,0,0,3.5,0.5,0,0.25,1,0,0.5,0,0.75,0.75,1,0.25,0,0.5,0,0,3.24384261009603,12.3063863985928,10.3422864809227,14.7680558000862,7.31828666605941,1.84593919193765,28.679193850917,20.8510688692588,1.59886716600961,0.00476255225465872,0.00435500347909631,0.405286464429329,0.529210938101516,0.0655025974289175,0.470789061858246
"7","burnt",1985.8976767367,9,12,40.75,16.5,13,5.75,0,0,0,0.25,0,3,0.5,0,0.5,0.75,0,0.25,0,1,0.25,0.75,0,0,0.5,0.25,0,2.70167044055001,8.76090980518152,7.72672569070146,10.5604270661333,5.38879472801743,2.19619445617655,25.274705717003,22.7787241949916,2.68761835546169,0.00458850880899336,0.00333898489687207,0.34303260654957,0.592135457097633,0.0648319363853048,0.407864542934875
"8","burnt",1980.4994260537,10,11.75,37,19,11.75,11.75,0,0,0,0.25,0,2,0.25,0,0.25,0.5,0,0,0,0,0.75,0.25,0.25,0,1,0,0,2.16318571270249,7.44122697771622,6.45257119245608,9.01763953827363,5.15223725585923,2.06763768889197,22.5210217535107,18.5427092914076,3.17976960757014,0.0044884532049097,0.00185348198813269,0.309212415003918,0.640138622922069,0.0506489620672202,0.359861377071138
"9","burnt",1974.9024233848,11,10.5,35.5,24.75,8.5,10.5,0,0,0,0.25,0,1,0.5,0,0.5,0.5,0,0.5,0,0.5,0,1,0.25,0,1,0,0,2.16318571270249,7.44122697771622,6.45257119245608,9.01763953827363,5.15223725585923,2.06763768889197,22.5210217535107,18.5427092914076,3.17976960757014,0.00443656000052556,0.000927160615314363,0.301611814782971,0.639791637682731,0.0585965475101868,0.360208362293158
"10","burnt",1969.09370163163,12,11.75,31.75,21.25,5.75,22.5,0,0,0,0,0,0,0,0,0.5,1,0,0.25,0,0.75,0,0.25,0.25,0,0.5,0.75,0,1.59117789224329,6.0471626277973,5.8117904296899,7.36737458427579,4.25829728730475,1.29670321432668,12.0512574948856,7.37925088656755,0.918385935675527,0.00437453650496997,0.00106776496088395,0.310584037984759,0.632530936939014,0.0568850250369344,0.367469063021693
