"","lake","boundary_years"
"1","burnt",1971.99806250821
"2","burnt",1939.79617530787
"3","dunnigan",1997.14464805584
"4","dunnigan",1976.8119051914
"5","dunnigan",1959.07483873738
"6","dunnigan",1900.93310392436
"7","etwin",1990.57692936609
"8","etwin",1948.84166076711
"9","elbow",2009.45716301327
"10","elbow",1973.0039921585
"11","elbow",1939.70515395223
"12","finger",2006.5309971686
"13","finger",1939.99302691358
"14","flame",2006.31419640993
"15","flame",1945.41857637187
"16","smoke",1989.46465400545
"17","smoke",1956.61966412064
"18","wtwin",1997.2447414199
