,lake,year_loess,dmar_loess,depth,wet_g_cc,dry_g_cc,dry_wet,org_wet,percent_organic,percent_ca_co3,percent_inorg,concentration_si_o2,sio2_wt_percent,flux_sio2_mg,focus_g_cm2y,ex_p,bd_p,na_oh_p,pers_p,labile_o_p,mineral_p,tp_results_mg_p_g,recalcitrant_o_p,chlide_a,chl_c1,chl_c2,perid,fuco,sed_a,sed_b,sed_c,oscil,aphan,viola,diadino,sudan,myxo,allo,diato,lutein,zea,cantha,chl_b,okenone,chl_a,chl_ap,echine,isoren,phaeo_b,pheo_a,a_car,b_car,car_x,car_y,car_z,ach_microcephala,ach_minutissimum,ach_minutissimum_var_jackii,amp_ovalis,amp_iranensis,ast_formosa,aul_ambigua,aul_granulata,aul_humilis,aul_pusila,aul_subarctica,aul_tenella,bra_vitrea,bra_microcephala,bra_procera,cal_limosa,cal_sp,cav_jaernefeltii,cav_pseudoscutiformis,cav_sp,cha_mediocris,cmb_anglica,cmb_sp,coc_neothumensis,coc_neodiminuta,cyc_menegahniana,cym_apiculata,del_sp_1,del_sp_3,dip_boldtiana,dip_finnica,dis_pseudostelligera,dis_stelligera,enc_austriaca,enc_ceasatii,enc_sp,enp_sp,enp_microcephala,enc_minutum,enc_perigracile,enc_silisaecum,enc_thumensis,eol_metafarta,epi_adnata,epi_gibba,epi_sorex,epi_sp,epi_turgida,euc_flexella,euc_laevis,eun_arcubus,eun_sp,euc_formica,eun_incisa,eun_naegeli,eun_pectinalis,eun_rhomboidea,eun_tenella,eun_sp_2,eun_valida,eun_zasumi,fal_lenzii,fra_crotonensis,fra_mesolepta,fra_stoermeriana,fra_tenera,fra_vaucheria,frm_virecens,frm_sp_1,frm_sp_2,fru_sp_1,fru_sp_3,fru_sp_4,gei_sp_4,gms_sp_1,fru_inculata,gog_exilis,gog_rostellata,gom_acuminatum,gom_cf_minusculum,gom_sp_1,gom_gracile,gom_insigne,gom_sp,gom_parvulum,gom_vibrio,gsp_grovei,gyr_attenuatatum,han_amphyoxis,hip_capitata,kob_micropunctata,kob_parasubtilissima,lin_bodanica,lin_comensis,lin_comta,lin_intermedia,lin_michiganiana,lut_mutica,nav_cryptocephala,nav_cryptotenella,nav_wildii,nav_menisculus,nav_aurora,nav_radians,nav_radiosa,nav_leptostriata,nav_viridula,nav_erifuga,nav_sp,nav_expecta,nei_sp,nei_affinis,nei_sp_2,nit_tenuis,nit_amphibia,nit_palea_var_tenuirostris,nit_palea_var_debilis,nit_dissipata,nit_leiberthruthii,nit_fonticola,nit_linearis,nit_palea,nit_paleacea,nit_perminuta,nup_vitiosa,nup_elegantula,nup_subrostrata,nup_sp,nup_neglecta,nup_wellneri,pin_rupestris,pin_braunii,pin_gibba,pin_acrosphaeria,pin_braunii_2,pin_microstauron,pin_gibbiformis,pin_subanglica,pin_subgibba,pin_viridis,pin_divergens,pin_marchica,plc_hustedtii,plc_clementis,plc_explanata,plc_symmetrica,pla_abbreviatum,pla_biporomum,pla_frequentissima,pla_joursacense,pla_rostratum,pla_sp_1,plt_kingstonii,psa_levanderii,psa_didymum,psa_harveyi,pse_binodis,pse_brevistriata_inflata,pse_brevistriata,pse_elliptica,pse_cf_microstriata,pse_microstriata,pse_parasititica,pse_pseudoconstruens,pse_robusta,pun_lancettula,ros_anastasiae,ros_pusillum,sel_atomoides,sel_auldrekie,sel_blackfordensis,sel_laevissima,sel_cf_ventralis,sel_cf_submularis,sel_cf_vitabunda,sel_pupula,sel_moesta,sel_nigri,sel_saugerresii,sel_schadei,sel_schoenfeldii,sel_subbacillum,sel_sp,ska_oestrupii,ska_peragalloi,stl_cf_similoides,stl_minuta,sta_anasta,sta_berolinensis,sta_construens,sta_construens_mn2,sta_ovata,sta_pinnata,sta_venter,ste_niagare,str_obtusa,str_gracilis,str_kriegeri,str_phoencentron,str_sp,str_sp_2,str_smithii,str_separanda,str_angusta,str_bifrons,sur_tenera,sur_terryi,tab_fenestrata,tab_flocculosa,tab_flocculosa_iv,tet_sp,uln_acus,uln_capitata,uln_ulna,tot_count,tot_abund,d15N_perc_air,d13C_org_VPDB,perc_TOC,perc_TN,TOC_TN_ratio
1,burnt,2018.274131,0.015197157,2,1.020253587,0.043243243,0.042384799,0.01900121,44.83024691,7.895833333,47.27391975,256.0603639,25.60603639,4.071359786,1.080350877,7.96115227993001e-05,0.002474358,0.00153665,0.008051077,0.006514427,0.002295994,0.022089442,0.009188401,0,0,0,0,4.625600851,1.243490028,3.738604408,3.054531857,0,0,0,0,2200.621725,3.723290004,17.70103545,12.92931286,20.96800567,0,8.113301038,10.35572455,0,16.51474755,6.553613199,4.528841834,0,31.84075238,34.5359897,0,7.311904331,0,0,0,0.5,0.5,0,0,0,15.25,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0.25,4.75,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,0,0,400,100,NA,NA,NA,NA,NA
2,burnt,2014.229099,0.014156533,3,1.022604588,0.04831309,0.047245134,0.020983174,44.41340782,8.575139665,47.01145251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,burnt,2009.988856,0.013238623,4,1.023761714,0.050167336,0.049002942,0.021510297,43.89593062,8.798665777,47.3054036,259.130285,25.9130285,3.420519762,1.080350877,6.70672314744504e-05,0.001694359,0.001302601,0.007364526,0.006061925,0.001904554,0.018623531,0.007593024,0,0,0,0,2.592030178,0.762685028,2.251922863,1.738674421,0,0,0,0,2264.617746,2.519541087,10.78297554,8.622800532,12.0031272,0,5.995966104,6.137218015,0,7.515794976,4.134150368,2.144279264,0,19.74774871,17.16348956,0,1.896747874,0,0,0,0,0,0,0,0.25,11.75,32.75,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,5.75,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,400,100,NA,NA,NA,NA,NA
4,burnt,2005.561432,0.012469722,5,1.023940397,0.050927152,0.049736442,0.022022443,44.27828349,8.723407022,46.99830949,261.4386449,26.14386449,3.260067225,1.080350877,6.5003490646102e-05,0.00141473,0.001202275,0.00694203,0.005739755,0.001837368,0.017129158,0.006870027,0,0,0,0,2.461785121,0.727108135,2.084013059,1.703430479,0,0,0,0,2407.578003,2.180468529,10.50392152,7.48827421,11.02402503,0,5.670879373,5.841051193,0,8.014043388,4.241568927,2.444741064,0,21.52761899,20.78586254,0,3.178111533,0,0,0,0,0,0,0,0.25,18,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0.25,0.25,3.5,0,0.25,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,16.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0,0,0,400,100,2.570007773,-30.99368446,24.47,2.56,9.55859375
5,burnt,2000.94402,0.011827848,6,1.024230387,0.051506124,0.050287635,0.022202831,44.15167095,7.74562982,48.10269923,267.3641483,26.73641483,3.162342432,1.080350877,6.10576278869265e-05,0.001329081,0.001094702,0.006490854,0.005396152,0.00190687,0.016834396,0.007046534,0,0,0,0,2.16774128,0.601014499,2.066213956,1.322107054,0,0,0,0,2351.974662,2.349601557,10.14920624,7.605586053,11.39098948,0,5.852195123,5.868741443,0,8.252375964,5.027895188,2.762163011,0,28.46289332,27.099825,0,4.896815109,0,0,0,0.5,0.25,0,0,0,12.25,40.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0.25,8.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,15.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,15.25,0,0,0,0,0,400,100,NA,NA,NA,NA,NA
6,burnt,1996.129348,0.011285837,7,1.024627113,0.052568777,0.051305276,0.022644195,44.13619168,7.742496847,48.12131148,214.1606885,21.41606885,2.416982699,1.080350877,6.54534537303959e-05,0.00123105,0.001045222,0.005591711,0.004546489,0.001816508,0.014621088,0.005916365,0,0,0,0,2.590477674,0.713449538,1.531002218,0.592772613,0,0,0,0,1737.346293,3.364067899,9.663445357,6.751519072,11.47384653,0,2.608867284,4.593574386,0,7.478043991,5.235647854,2.707418185,0,33.74920428,34.11696215,0,5.224798913,0,0,0,0,0.5,0,0,0.25,10.5,30.75,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0.5,0,13,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.75,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.75,17.75,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,400,100,NA,NA,NA,NA,NA
7,burnt,1991.110143,0.010816528,8,1.025159987,0.053317615,0.052009068,0.02289976,44.03032217,7.900821226,48.0688566,259.9254876,25.99254876,2.339329389,1.080350877,5.36376049856515e-05,0.000864123,1.90135243187988e-05,0.005311997,0.005292983,0.001806588,0.013192201,0.005155855,0,0,0,0,2.833026324,0.887969181,2.146943599,1.90429756,0,0,0,0,1933.022898,3.24384261,12.3063864,10.34228648,14.7680558,0,7.318286666,6.844287398,0,7.663769086,5.746983679,1.845939192,0,28.67919385,20.85106887,0,1.598867166,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,burnt,1985.897677,0.010528115,9,1.025392583,0.053892416,0.052557836,0.022906484,43.583385,8.03583385,48.38078115,224.192358,22.4192358,2.360322884,1.080350877,6.34400533879036e-05,0.000860981,0.000996655,0.005488754,0.004492099,0.001839309,0.013280192,0.005027708,0,0,0,0,1.872629371,0.50654411,1.92312823,1.49749851,0,0,0,0,2281.304007,2.701670441,8.760909805,7.726725691,10.56042707,0,5.388794728,5.6272886,0,5.564876797,4.549786053,2.196194456,0,25.27470572,22.77872419,0,2.687618355,0,0,0,0.25,0.25,0,0,0,12,40.75,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.5,0.25,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,400,100,NA,NA,NA,NA,NA
9,burnt,1980.499426,0.010454039,10,1.026423997,0.055578025,0.054147238,0.023248178,42.93511219,7.998302001,49.06658581,236.3204244,23.63204244,2.434100372,1.080350877,6.18326253699603e-05,0.000618166,0.000924641,0.004636719,0.003712078,0.00176164,0.012204913,0.005126554,0,0,0,0,1.470826172,0.537778861,1.933487445,1.140468083,0,0,0,0,2440.062378,2.163185713,7.441226978,6.452571192,9.017639538,0,5.152237256,6.363249739,0,4.871221839,4.301610673,2.067637689,0,22.52102175,18.54270929,0,3.179769608,0,0,0,0.25,0,0,0,0,11.75,37,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,11.75,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.75,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.75,0,0,0,0,0,400,100,NA,NA,NA,NA,NA
10,burnt,1974.902423,0.010455008,11,1.027640904,0.058218022,0.056652107,0.024040198,42.43478261,7.514086957,50.05113043,234.0314563,23.40314563,2.446800794,1.080350877,5.90437031752461e-05,0.00070151,0.000923686,0.004475498,0.003551812,0.002132074,0.011971865,0.004603739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.5,0,0,0,10.5,35.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,10.5,0,0.25,0.25,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,24.75,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,400,100,2.822616496,-30.65287315,23.61,2.36,10.00423729
