,var,Axis1,Axis2,r2,p,varname,type,lake
1,PSEBR,0.026390914,-0.999651699,0.582917362,0.001,PSEBR,diatom,dunnigan
2,PSERO,0.279457688,0.960158008,0.640324869,0.002,PSERO,diatom,dunnigan
3,SEDB,-0.315608549,-0.948889479,0.539894327,0.002,SEDB,pigment,dunnigan
4,PHAB,-0.936427138,-0.350862103,0.549558276,0.002,PHAB,pigment,dunnigan
5,ASTFO,-0.996065487,0.088620238,0.51914603,0.001,ASTFO,diatom,finger
6,AULAM,0.947292067,0.320371254,0.615705114,0.002,AULAM,diatom,finger
7,STAVE,0.998367945,-0.057109081,0.662495032,0.001,STAVE,diatom,finger
8,PSEEL,-0.632664077,-0.774426346,0.575645291,0.002,PSEEL,diatom,finger
9,AULGR,0.925349356,0.37911551,0.510276236,0.002,AULGR,diatom,finger
10,LININ,-0.998818804,-0.048590092,0.606614583,0.001,LININ,diatom,finger
11,FRAME,-0.986303465,0.164940823,0.648726736,0.001,FRAME,diatom,finger
12,MYX,-0.700521967,-0.713630839,0.529661367,0.003,MYX,pigment,finger
13,PHAB,-0.115163305,0.993346573,0.518586907,0.002,PHAB,pigment,finger
14,ASTFO,-0.984859699,-0.173353321,0.506752299,0.001,ASTFO,diatom,burnt
15,AULAM,0.796696142,-0.60438006,0.854189681,0.001,AULAM,diatom,burnt
16,STAVE,-0.825423577,0.564513878,0.777526137,0.001,STAVE,diatom,burnt
17,TABFL,-0.832089119,-0.554641954,0.732279871,0.001,TABFL,diatom,burnt
18,PSEEL,0.443570464,0.896239501,0.770945898,0.001,PSEEL,diatom,burnt
19,FRACR,-0.800979646,-0.598691578,0.809698085,0.001,FRACR,diatom,burnt
20,AULSU,-0.221097721,0.975251659,0.525597773,0.001,AULSU,diatom,burnt
21,LINCO,0.73702994,0.675860095,0.770226314,0.001,LINCO,diatom,burnt
22,MYX,-0.97241103,-0.233274065,0.744916608,0.001,MYX,pigment,burnt
23,ECH,-0.759934805,-0.649999302,0.650706161,0.001,ECH,pigment,burnt
24,PHAB,-0.966705166,-0.255892795,0.738752872,0.001,PHAB,pigment,burnt
25,PHEA,-0.86132861,-0.50804825,0.73632953,0.001,PHEA,pigment,burnt
26,BCAR,-0.759394894,-0.650629999,0.536755329,0.001,BCAR,pigment,burnt
27,ASTFO,-0.999991612,0.004095795,0.952176375,0.001,ASTFO,diatom,smoke
28,AULAM,0.981366166,-0.192146946,0.967766476,0.001,AULAM,diatom,smoke
29,STAVE,-0.932390079,-0.361453649,0.680494986,0.001,STAVE,diatom,smoke
30,FRACR,-0.682677753,0.730719567,0.75893407,0.001,FRACR,diatom,smoke
31,STAPI,-0.932390079,-0.361453649,0.680494986,0.001,STAPI,diatom,smoke
