"","X1","X2","lake","year"
"site1",0.094108498901533,-0.00609974225857143,"burnt",2018.2741306454
"site2",0.0941084989015255,-0.00609974225857051,"burnt",2014.22909886214
"site3",0.0967315587660075,0.076024420452313,"burnt",2009.98885613295
"site4",0.0960073564283829,0.122773481933315,"burnt",2005.56143171556
"site5",0.094705406529927,0.0266224329535174,"burnt",2000.94401975649
"site6",0.0964345785181679,0.00228998015246833,"burnt",1996.12934758546
"site7",0.10621775446114,0.0256236794562064,"burnt",1991.11014253217
"site8",0.111070567551348,0.062359707210464,"burnt",1985.8976767367
"site9",0.109025194504863,0.060776420076451,"burnt",1980.4994260537
"site10",0.122372088696075,0.063557284503896,"burnt",1974.9024233848
"site11",0.128390843271731,0.0886021056593194,"burnt",1969.09370163163
"site12",0.128390843271731,0.0886021056593194,"burnt",1962.95000223447
"site13",0.106653962242595,0.0147514716046945,"burnt",1956.47274889439
"site14",0.106653962242595,0.0147514716046945,"burnt",1949.83599790424
"site15",0.121665106926902,0.0777012159300926,"burnt",1943.21380555683
"site16",0.130396626796149,0.0449715114603888,"burnt",1936.3785450589
"site17",0.130396626796149,0.0449715114603888,"burnt",1929.23306649953
"site18",0.130396626796149,0.0449715114603888,"burnt",1922.14714149505
"site19",0.137961904763864,0.0722112888577357,"burnt",1915.4905416618
"site20",0.137961904763864,0.0722112888577357,"burnt",1909.41459878826
"site21",0.0821885843707945,0.00355577839664301,"burnt",1903.63441744737
"site22",0.0821885843707945,0.003555778396643,"burnt",1897.86542843212
"site23",0.0821885843707945,0.00355577839664299,"burnt",1891.82306253553
"site24",0.0821885843707946,0.00355577839664297,"burnt",1885.55547464712
"site25",0.139393110591781,0.0811696622383167,"burnt",1879.26638262815
"site26",0.139393110591781,0.0811696622383167,"burnt",1872.90456172916
"site27",0.138259062699829,0.0873459648841913,"burnt",1866.41878720072
"site28",0.138259062699829,0.0873459648841913,"burnt",1859.75783429338
"site29",0.138259062699829,0.0873459648841913,"burnt",1852.87047825768
"site30",0.138259062699829,0.0873459648841913,"burnt",1845.74958306586
"site31",0.138259062699829,0.0873459648841913,"burnt",1838.43858996232
"site32",0.138259062699829,0.0873459648841913,"burnt",1830.96214010586
"site33",-0.852659894814199,-0.0893923762124515,"dunnigan",2018.9061796386
"site34",-0.838411095400349,-0.0902441544273621,"dunnigan",2017.48875747663
"site35",-0.838411095400349,-0.0902441544273622,"dunnigan",2015.37657935122
"site36",-0.830062889901443,-0.0734968868944823,"dunnigan",2012.58593988094
"site37",-0.81047652902901,0.025420972094423,"dunnigan",2009.10458224935
"site38",-0.826451040144403,-0.0173458463116706,"dunnigan",2004.91127645558
"site39",-0.813953449712534,-0.0233292586662779,"dunnigan",1999.98479249877
"site40",-0.798456972134114,-0.0530808934541856,"dunnigan",1994.30450361292
"site41",-0.817355106272557,0.0230385922290796,"dunnigan",1987.87961835603
"site42",-0.796476849452728,0.0059882447833799,"dunnigan",1980.73365971321
"site43",-0.835310234955035,-0.0638758556379165,"dunnigan",1972.89015066958
"site44",-0.829169115002812,-0.0734795001044034,"dunnigan",1963.89882404707
"site45",-0.806490566605139,0.0439075974594764,"dunnigan",1954.25085342768
"site46",-0.806490566605139,0.0439075974594764,"dunnigan",1944.08870532587
"site47",-0.815275407742188,-0.0133147047595101,"dunnigan",1933.0477418946
"site48",-0.815275407742188,-0.0133147047595102,"dunnigan",1921.80299071694
"site49",-0.81505645716506,0.0625359755537259,"dunnigan",1911.02947937592
"site50",-0.81505645716506,0.0625359755537258,"dunnigan",1900.839665356
"site51",-0.813741088980008,0.179697764231057,"dunnigan",1890.83672847281
"site52",-0.813741088980008,0.179697764231057,"dunnigan",1880.93177980614
"site53",-0.816661074862764,0.140225227343671,"dunnigan",1871.03593043578
