"","Dim1","Dim2","lake","year"
"site1",-1.3432813486766,-0.291452977110759,"burnt",2018.2741306454
"site2",-1.54105331339758,-0.506673048544095,"burnt",2014.22909886214
"site3",-1.14738786963182,-0.182407974092038,"burnt",2009.98885613295
"site4",-1.17575456827393,-0.335201903718478,"burnt",2005.56143171556
"site5",-0.781611413576136,0.0584710985945335,"burnt",2000.94401975649
"site6",-0.883100929738587,0.168842219708555,"burnt",1996.12934758546
"site7",-0.870809913552399,0.126746655479033,"burnt",1991.11014253217
"site8",-0.75447018600479,-0.00390375532631777,"burnt",1985.8976767367
"site9",-0.590268098983682,0.258165932420566,"burnt",1980.4994260537
"site10",-0.351769703769907,0.57032020170134,"burnt",1974.9024233848
"site11",0.271075015345922,1.02694914359747,"burnt",1969.09370163163
"site12",0.289474057435422,1.08236864046601,"burnt",1962.95000223447
"site13",0.169659585949272,0.829084618164163,"burnt",1956.47274889439
"site14",0.420709065425197,1.06738201959742,"burnt",1949.83599790424
"site15",0.0979595353696758,0.846519839528291,"burnt",1943.21380555683
"site16",0.56246676857992,0.221165905994416,"burnt",1936.3785450589
"site17",0.407887970360497,0.11787560154988,"burnt",1929.23306649953
"site18",0.265613598409445,-0.0648638129871445,"burnt",1922.14714149505
"site19",0.394708409297953,-0.242116072847993,"burnt",1915.4905416618
"site20",0.315253622291869,-0.326013244187487,"burnt",1909.41459878826
"site21",0.227380086343088,-0.152808909965909,"burnt",1903.63441744737
"site22",0.356554500679586,-0.324185470621598,"burnt",1897.86542843212
"site23",0.479960139378426,-0.206613404193739,"burnt",1891.82306253553
"site24",0.48297772096833,-0.220265777880203,"burnt",1885.55547464712
"site25",0.385245719190204,-0.611039460807141,"burnt",1879.26638262815
"site26",0.552677009617857,-0.368966984536574,"burnt",1872.90456172916
"site27",0.56190273497472,-0.418991795911647,"burnt",1866.41878720072
"site28",0.653127191544128,-0.432066129679095,"burnt",1859.75783429338
"site29",0.696829882712751,-0.327025002210133,"burnt",1852.87047825768
"site30",0.488009446038473,-0.641642897471913,"burnt",1845.74958306586
"site31",0.691642573047234,-0.353319768553972,"burnt",1838.43858996232
"site32",0.668392712645453,-0.364333486155451,"burnt",1830.96214010586
"site110",-1.24268293254058,-1.10836507599087,"elbow",2018.30048530253
"site210",-1.12094206437762,-0.881322357090295,"elbow",2015.61921617665
"site310",-1.00922451184362,-0.485878758192528,"elbow",2012.70722993108
"site410",-0.934123926444712,-0.445719608276689,"elbow",2009.57662964261
"site510",-0.573376910825466,0.040787997405434,"elbow",2006.20709609546
"site610",-0.589497768676221,0.0373706428510583,"elbow",2002.60276036795
"site710",-0.534236962811738,0.368738761473771,"elbow",1998.77142276648
"site81",-0.526378580398734,0.369632400591312,"elbow",1994.6929699258
"site91",-0.525393178882928,0.439812394810164,"elbow",1990.34728848064
"site101",-0.483439499058942,0.456031809129075,"elbow",1985.73854706634
"site111",-0.723161415016655,0.66388416967992,"elbow",1980.8800528962
"site121",-0.61692820676871,0.652208558251035,"elbow",1975.76540047187
"site131",-0.24927718189227,0.475639279258806,"elbow",1970.24258384513
"site141",-0.242774354161769,0.46603709720585,"elbow",1964.31228902271
"site151",-0.286632345752938,0.26043058688001,"elbow",1958.19714843872
"site161",-0.158059364020397,0.148239414728949,"elbow",1952.11979452725
"site171",0.0687363725710015,-0.0962353505488094,"elbow",1945.98673870973
"site181",0.216158203305301,-0.0813756252121059,"elbow",1939.68846599422
"site191",0.280708868594619,0.232277567583866,"elbow",1933.42356919473
"site201",0.379653201721753,0.251664851426363,"elbow",1927.38699983326
