"","var","Dim1","Dim2","r2","p","varname","type","lake"
"1","PSEBR",0.0263909136364782,-0.999651699181986,0.582917362155298,0.001,"PSEBR","diatom","dunnigan"
"2","PSERO",0.27945768761638,0.960158008263278,0.640324869303199,0.002,"PSERO","diatom","dunnigan"
"3","SEDB",-0.31560854867633,-0.94888947934015,0.539894327497877,0.002,"SEDB","pigment","dunnigan"
"4","PHAB",-0.936427137765652,-0.350862103476607,0.549558275540073,0.002,"PHAB","pigment","dunnigan"
"5","ASTFO",-0.996065486551515,0.0886202375357549,0.519146029507726,0.001,"ASTFO","diatom","finger"
"6","AULAM",0.947292066757256,0.320371253795916,0.615705114233743,0.002,"AULAM","diatom","finger"
"7","STAVE",0.998367944635731,-0.0571090809226245,0.662495032422811,0.001,"STAVE","diatom","finger"
"8","PSEEL",-0.632664077222148,-0.774426346008868,0.575645290845127,0.002,"PSEEL","diatom","finger"
"9","AULGR",0.925349355774162,0.37911550979661,0.510276235501103,0.002,"AULGR","diatom","finger"
"10","LININ",-0.998818803852245,-0.0485900923149047,0.606614582933428,0.001,"LININ","diatom","finger"
"11","FRAME",-0.986303464887878,0.164940823176575,0.648726736188591,0.001,"FRAME","diatom","finger"
"12","MYX",-0.700521966899357,-0.71363083866342,0.529661367096845,0.003,"MYX","pigment","finger"
"13","PHAB",-0.115163304976577,0.993346572544986,0.518586907276093,0.002,"PHAB","pigment","finger"
"14","ASTFO",-0.984859698616641,-0.173353321400943,0.506752299408512,0.001,"ASTFO","diatom","burnt"
"15","AULAM",0.796696142257791,-0.604380059988377,0.854189681203606,0.001,"AULAM","diatom","burnt"
"16","STAVE",-0.825423577211564,0.564513877759675,0.777526136847995,0.001,"STAVE","diatom","burnt"
"17","TABFL",-0.832089119350553,-0.554641954289812,0.73227987104557,0.001,"TABFL","diatom","burnt"
"18","PSEEL",0.443570464453653,0.896239500950706,0.770945897725199,0.001,"PSEEL","diatom","burnt"
"19","FRACR",-0.800979646344877,-0.598691578478632,0.80969808459201,0.001,"FRACR","diatom","burnt"
"20","AULSU",-0.221097721429089,0.975251658588113,0.525597772888104,0.001,"AULSU","diatom","burnt"
"21","LINCO",0.737029939566267,0.675860095125422,0.770226313815772,0.001,"LINCO","diatom","burnt"
"22","MYX",-0.972411029594891,-0.233274065258451,0.744916607530342,0.001,"MYX","pigment","burnt"
"23","ECH",-0.759934804988596,-0.649999301666505,0.650706161158931,0.001,"ECH","pigment","burnt"
"24","PHAB",-0.966705165672475,-0.255892795252528,0.738752871787203,0.001,"PHAB","pigment","burnt"
"25","PHEA",-0.861328610486793,-0.508048250422034,0.736329529525346,0.001,"PHEA","pigment","burnt"
"26","BCAR",-0.75939489374983,-0.650629998806299,0.536755329381606,0.001,"BCAR","pigment","burnt"
"27","ASTFO",-0.999991612197886,0.00409579465694457,0.952176375426361,0.001,"ASTFO","diatom","smoke"
"28","AULAM",0.98136616569169,-0.192146945943957,0.967766476125942,0.001,"AULAM","diatom","smoke"
"29","STAVE",-0.932390079216197,-0.361453648728593,0.680494985740972,0.001,"STAVE","diatom","smoke"
"30","FRACR",-0.682677752831958,0.730719567131132,0.758934070337345,0.001,"FRACR","diatom","smoke"
"31","STAPI",-0.932390079216197,-0.361453648728594,0.680494985740972,0.001,"STAPI","diatom","smoke"
