,var,Dim1,Dim2,r2,p,varname,type,lake
1,TABFL,0.794077574,0.607816425,0.510635108,0.025,TABFL,diatom,dunnigan
2,PHEB,0.977571708,-0.210602837,0.56633564,0.005,PHEB,pigment,dunnigan
3,PHEA,0.22699401,-0.973896154,0.512015759,0.003,PHEA,pigment,dunnigan
4,ASTFO,0.014213557,-0.999898982,0.57460356,0.003,ASTFO,diatom,finger
5,AULAM,-0.408734028,0.912653546,0.602334007,0.001,AULAM,diatom,finger
6,STAVE,-0.136812658,0.990596939,0.60722691,0.004,STAVE,diatom,finger
7,PSEEL,0.786682236,-0.617358129,0.553974042,0.004,PSEEL,diatom,finger
8,FRAME,0.003383934,-0.999994274,0.593729813,0.001,FRAME,diatom,finger
9,MYX,0.784008766,-0.620749753,0.501135177,0.008,MYX,pigment,finger
10,PHEB,-0.936448382,-0.350805399,0.635021486,0.002,PHEB,pigment,finger
11,AULAM,0.68606297,-0.727542165,0.679297563,0.001,AULAM,diatom,burnt
12,STAVE,-0.611530709,0.791220697,0.589116285,0.002,STAVE,diatom,burnt
13,TABFL,-0.807079374,-0.590442956,0.789116246,0.001,TABFL,diatom,burnt
14,PSEEL,0.544843779,0.83853757,0.831252311,0.001,PSEEL,diatom,burnt
15,FRACR,-0.828098395,-0.560582775,0.749524106,0.001,FRACR,diatom,burnt
16,LINCO,0.900731093,0.434377138,0.716162864,0.001,LINCO,diatom,burnt
17,MYX,-0.997725537,-0.067407368,0.639370128,0.001,MYX,pigment,burnt
18,ALL,-0.632211418,-0.774795923,0.516716248,0.006,ALL,pigment,burnt
19,ECH,-0.750990705,-0.660312775,0.692758953,0.001,ECH,pigment,burnt
20,PHEB,-0.991668812,0.12881369,0.723726304,0.001,PHEB,pigment,burnt
21,PHEA,-0.966189865,-0.257831622,0.727636016,0.001,PHEA,pigment,burnt
22,BCAR,-0.879864561,-0.475224531,0.510625477,0.009,BCAR,pigment,burnt
23,ASTFO,-0.946854844,0.321661164,0.897255341,0.001,ASTFO,diatom,smoke
24,AULAM,0.914607127,-0.404343669,0.923656572,0.001,AULAM,diatom,smoke
25,STAVE,-0.961714612,-0.274052922,0.565664552,0.002,STAVE,diatom,smoke
26,FRACR,-0.436238934,0.899830869,0.575293491,0.001,FRACR,diatom,smoke
27,STAPI,-0.961714612,-0.274052922,0.565664552,0.002,STAPI,diatom,smoke
28,ALL,-0.643784063,0.765207214,0.511093576,0.006,ALL,pigment,smoke
29,ECH,-0.725068201,-0.688677068,0.729865489,0.001,ECH,pigment,smoke
30,PHEB,-0.898306229,-0.439369911,0.778038022,0.001,PHEB,pigment,smoke
31,PHEA,-0.765622361,-0.643290293,0.593254509,0.002,PHEA,pigment,smoke
32,BCAR,-0.4681327,-0.883658178,0.662736107,0.001,BCAR,pigment,smoke
33,ASTFO,-0.524152765,0.851624259,0.84570142,0.001,ASTFO,diatom,elbow
34,AULAM,0.919268317,-0.393631504,0.74812175,0.001,AULAM,diatom,elbow
35,STAVE,-0.153783076,-0.988104633,0.798527771,0.001,STAVE,diatom,elbow
36,FRACR,-0.406947986,0.913451332,0.816951673,0.001,FRACR,diatom,elbow
37,STACO,0.989139039,-0.146982862,0.900700277,0.001,STACO,diatom,elbow
38,AULGR,-0.659522082,-0.751685189,0.724190875,0.001,AULGR,diatom,elbow
39,AULSU,-0.845422614,-0.534097935,0.685811612,0.001,AULSU,diatom,elbow
