,diatom,mixing,notes
1,ach_minutissimum,B,
2,ast_formosa,P,
3,aul_ambigua,P,
4,aul_granulata,P,
5,aul_subarctica,P,
6,aul_tenella,P,
7,dis_pseudostelligera,P,
8,fra_crotonensis,P,
9,fra_mesolepta,P,
10,lin_comta,P,"Not in DONA, but Lindavia is a genus of centric diatoms, which are typically planktonic"
11,lin_intermedia,P,
12,nav_cryptocephala,B,
13,nit_perminuta,B,
14,pin_subanglica,B,
15,pse_brevistriata_inflata,B,
16,pse_brevistriata,B,
17,pse_elliptica,B,
18,pse_robusta,B,
19,sel_auldrekie,B,
20,sel_nigri,B,
21,sel_saugerresii,B,
22,sta_construens,B,
23,sta_pinnata,B,
24,sta_venter,B,
25,tab_fenestrata,P,diverging statements on P v. B
26,tab_flocculosa,P,diverging statements on P v. B
