"","lake","year_loess","dmar_loess","depth","wet_g_cc","dry_g_cc","dry_wet","org_wet","percent_organic","percent_ca_co3","percent_inorg","concentration_si_o2","sio2_wt_percent","flux_sio2_mg","focus_g_cm2y","ex_p","bd_p","na_oh_p","pers_p","labile_o_p","mineral_p","tp_results_mg_p_g","recalcitrant_o_p","chlide_a","chl_c1","chl_c2","perid","fuco","sed_a","sed_b","sed_c","oscil","aphan","viola","diadino","sudan","myxo","allo","diato","lutein","zea","cantha","chl_b","okenone","chl_a","chl_ap","echine","isoren","phaeo_b","pheo_a","a_car","b_car","car_x","car_y","car_z","Ach. microcephala","Ach. minutissimum","Ach. minutissimum var. jackii","Amp. ovalis","Amp. iranensis","Ast. formosa","Aul. ambigua","Aul. granulata","Aul. humilis","Aul. pusila","Aul. subarctica","Aul. tenella","Bra. vitrea","Bra. microcephala","Bra. procera","Cal. limosa","Cal. sp.","Cav. jaernefeltii","Cav. pseudoscutiformis","Cav. sp.","Cha. mediocris","Cmb. anglica","Cmb. sp.","Coc. neothumensis","Coc. neodiminuta","Cyc. menegahniana","Cym. apiculata","Del. sp.1","Del. sp.3","Dip. boldtiana","Dip. finnica","Dis. pseudostelligera","Dis. stelligera","Enc. austriaca","Enc. ceasatii","Enc. sp.","Enp. sp.","Enp. microcephala","Enc. minutum","Enc. perigracile","Enc. silisaecum","Enc. thumensis","Eol. metafarta","Epi. adnata","Epi. gibba","Epi. sorex","Epi. sp.","Epi. turgida","Euc. flexella","Euc. laevis","Eun. arcubus","Eun. sp.","Euc. formica","Eun. incisa","Eun.naegeli","Eun. pectinalis","Eun. rhomboidea","Eun. tenella","Eun. sp.2","Eun. valida","Eun. zasumi","Fal. lenzii","Fra. crotonensis","Fra. mesolepta","Fra. stoermeriana","Fra. tenera","Fra. vaucheria","Frm. virecens","Frm. sp.1","Frm. sp.2","Fru. sp.1","Fru. sp.3","Fru. sp.4","Gei. sp. 4","GMS sp.1","Fru. inculata","Gog. exilis","Gog. rostellata","Gom. acuminatum","Gom. cf. minusculum","Gom. sp.1","Gom. gracile","Gom. insigne","Gom. Sp.","Gom. parvulum","Gom. vibrio","Gsp. grovei","Gyr. Attenuatatum","Han. amphyoxis","Hip. capitata","Kob. micropunctata","Kob. parasubtilissima","Lin. bodanica","Lin. comensis","Lin. comta","Lin. intermedia","Lin. michiganiana","Lut. mutica","Nav. cryptocephala","Nav. cryptotenella","Nav. wildii","Nav. menisculus","Nav. aurora","Nav. radians","Nav. radiosa","Nav. leptostriata","Nav. viridula","Nav. erifuga","Nav. Sp.","Nav. expecta","Nei. sp.","Nei. affinis","Nei. sp. 2","Nit. tenuis","Nit. amphibia","Nit. palea var. tenuirostris","Nit. palea var. debilis","Nit. dissipata","Nit. leiberthruthii","Nit. fonticola","Nit. linearis","Nit. palea","Nit. paleacea","Nit. perminuta","Nup. vitiosa","Nup.elegantula","Nup. subrostrata","Nup. sp.","Nup. neglecta","Nup. wellneri","Pin. rupestris","Pin. Braunii","Pin. gibba","Pin. acrosphaeria","Pin. braunii","Pin. microstauron","Pin. gibbiformis","Pin. subanglica","Pin. subgibba","Pin. viridis","Pin. divergens","Pin. marchica","Plc. Hustedtii","Plc. clementis","Plc. explanata","Plc. symmetrica","Pla. abbreviatum","Pla. biporomum","Pla. frequentissima","Pla. joursacense","Pla. rostratum","Pla. sp.1","Plt. kingstonii","Psa. levanderii","Psa. didymum","Psa. harveyi","Pse. binodis","Pse. brevistriata-inflata","Pse. brevistriata","Pse. elliptica","Pse. cf. microstriata","Pse. microstriata","Pse. parasititica","Pse. pseudoconstruens","Pse. robusta","Pun. lancettula","Ros. anastasiae","Ros. pusillum","Sel. atomoides","Sel. auldrekie","Sel. blackfordensis","Sel. laevissima","Sel. cf. ventralis","Sel. cf. submularis","Sel. cf. vitabunda","Sel. pupula","Sel. moesta","Sel. nigri","Sel. saugerresii","Sel. schadei","Sel. schoenfeldii","Sel. subbacillum","Sel. sp.","Ska. oestrupii","Ska. peragalloi","Stl. cf. similoides","Stl. minuta","Sta. anasta","Sta. berolinensis","Sta. construens","Sta. construens MN2","Sta. ovata","Sta. pinnata","Sta. venter","Ste. niagare","Str. obtusa","Str. gracilis","Str. kriegeri","Str. phoencentron","Str. sp.","Str. sp. 2","Str. smithii","Str. separanda","Str. angusta","Str. bifrons","Sur. tenera","Sur. terryi","Tab. fenestrata","Tab. flocculosa","Tab. flocculosa IV","Tet. sp.","Uln. acus","Uln. capitata","Uln. ulna"
"1","burnt",2018.2741306454,0.0151971570652204,2,1.02025358692025,0.0432432432432432,0.0423847990319521,0.0190012100598488,44.83024691358,7.89583333333364,47.2739197530864,256.060363882902,25.6060363882902,4.07135978573815,1.080350877,7.96115227993001e-05,0.00247435777859502,0.00153665015876788,0.00805107734745354,0.00651442718868566,0.00229599390669717,0.0220894416612867,0.00918840110574162,0,0,0,0,4.6256008511247,1.24349002839629,3.73860440809593,3.05453185695176,0,0,0,0,2200.621725,3.72329000437825,17.7010354510785,12.9293128594317,20.9680056728724,0,8.11330103824346,10.3557245458552,0,16.5147475455449,6.55361319873981,4.52884183419895,0,31.8407523816019,34.5359896960441,0,7.31190433132552,0,0,0,2,2,0,0,0,61,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0
"2","burnt",2014.22909886214,0.0141565334244649,3,1.02260458839406,0.0483130904183536,0.0472451336192676,0.0209831738700099,44.4134078212291,8.57513966480563,47.0114525139653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","burnt",2009.98885613295,0.0132386228433804,4,1.02376171352075,0.0501673360107097,0.0490029421379538,0.0215102974828376,43.8959306204136,8.79866577718446,47.3054036024019,259.130285019003,25.9130285019003,3.42051976225084,1.080350877,6.70672314744504e-05,0.00169435941121414,0.00130260104220234,0.00736452571907512,0.00606192467687277,0.00190455389545292,0.0186235305977818,0.00759302434056518,0,0,0,0,2.59203017760568,0.762685028307098,2.25192286304971,1.73867442111244,0,0,0,0,2264.617746,2.5195410867622,10.7829755415887,8.62280053193734,12.0031272048876,0,5.99596610399001,6.13721801503155,0,7.51579497587788,4.13415036824212,2.14427926424297,0,19.7477487096432,17.1634895584247,0,1.896747874104,0,0,0,0,0,0,0,1,47,131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0
"4","burnt",2005.56143171556,0.0124697220095819,5,1.02394039735099,0.0509271523178806,0.0497364421304529,0.0220224428418977,44.2782834850458,8.72340702210603,46.9983094928481,261.438644943124,26.1438644943124,3.26006722500254,1.080350877,6.5003490646102e-05,0.00141472989389823,0.00120227496691975,0.00694202969450714,0.00573975472758739,0.00183736820857822,0.0171291580891059,0.00687002680147619,0,0,0,0,2.46178512082588,0.727108135165741,2.08401305897231,1.70343047887825,0,0,0,0,2407.578003,2.18046852899597,10.5039215228745,7.48827420975933,11.0240250342885,0,5.67087937328767,5.84105119316286,0,8.01404338789725,4.241568927082,2.44474106376781,0,21.5276189905356,20.7858625448948,0,3.17811153334607,0,0,0,0,0,0,0,1,72,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,14,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0
"5","burnt",2000.94401975649,0.0118278477235704,6,1.02423038728898,0.0515061238000661,0.0502876349298687,0.0222028311033546,44.1516709511567,7.74562982005155,48.1026992287917,267.364148257724,26.7364148257724,3.16234243233446,1.080350877,6.10576278869265e-05,0.0013290809545325,0.00109470211191528,0.00649085400202786,0.00539615189011258,0.00190686997092302,0.0168343964590628,0.00704653390369252,0,0,0,0,2.16774128000364,0.601014499417234,2.06621395564138,1.32210705355398,0,0,0,0,2351.974662,2.34960155680643,10.1492062417536,7.60558605281399,11.39098947909,0,5.85219512347793,5.86874144306095,0,8.25237596388056,5.02789518809256,2.76216301135668,0,28.4628933225513,27.0998250029285,0,4.89681510908613,0,0,0,2,1,0,0,0,49,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0
"6","burnt",1996.12934758546,0.0112858373594757,7,1.02462711302618,0.0525687769307258,0.0513052760974347,0.0226441949988679,44.1361916771755,7.74249684741467,48.1213114754098,214.160688499562,21.4160688499562,2.4169826991994,1.080350877,6.54534537303959e-05,0.00123104969144993,0.00104522178205178,0.00559171100926904,0.00454648922721726,0.00181650846372133,0.0146210877916003,0.00591636517342963,0,0,0,0,2.59047767430707,0.71344953760136,1.5310022179726,0.592772613112494,0,0,0,0,1737.346293,3.36406789920841,9.66344535669765,6.75151907184614,11.473846526055,0,2.60886728443159,4.5935743858747,0,7.47804399100896,5.23564785379751,2.70741818493364,0,33.7492042786773,34.1169621454761,0,5.22479891275627,0,0,0,0,2,0,0,1,42,123,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,3,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0
"7","burnt",1991.11014253217,0.0108165282914272,8,1.02515998652745,0.0533176153587068,0.0520090679107667,0.0228997601603312,44.030322173089,7.90082122552186,48.0688566013892,259.925487629609,25.9925487629609,2.33932938866648,1.080350877,5.36376049856515e-05,0.000864123444392728,1.90135243187988e-05,0.00531199650168607,0.00529298297736727,0.00180658847343709,0.0131922011998144,0.0051558551753129,0,0,0,0,2.83302632370481,0.887969180678331,2.14694359874492,1.90429755983537,0,0,0,0,1933.022898,3.24384261009603,12.3063863985928,10.3422864809227,14.7680558000862,0,7.31828666605941,6.8442873980942,0,7.6637690858911,5.74698367879747,1.84593919193765,0,28.679193850917,20.8510688692588,0,1.59886716600961,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","burnt",1985.8976767367,0.01052811480641,9,1.02539258269295,0.0538924156364851,0.0525578364288041,0.0229064841968069,43.5833849969005,8.03583384996907,48.3807811531304,224.192358034096,22.4192358034096,2.36032288410273,1.080350877,6.34400533879036e-05,0.000860980535096701,0.000996654944005267,0.00548875362010799,0.00449209867610272,0.00183930940056355,0.0132801915707064,0.0050277079615503,0,0,0,0,1.87262937063992,0.506544109518667,1.92312822994791,1.49749851016215,0,0,0,0,2281.304007,2.70167044055001,8.76090980518152,7.72672569070146,10.5604270661333,0,5.38879472801743,5.62728860032844,0,5.56487679660847,4.54978605250596,2.19619445617655,0,25.274705717003,22.7787241949916,0,2.68761835546169,0,0,0,1,1,0,0,0,48,163,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
"9","burnt",1980.4994260537,0.0104540386086103,10,1.02642399730367,0.055578024941018,0.0541472384580023,0.0232481775793,42.9351121892056,7.99830200121258,49.0665858095818,236.320424446187,23.6320424446187,2.43410037179572,1.080350877,6.18326253699603e-05,0.000618166172711258,0.000924641281445166,0.00463671926220269,0.00371207798075752,0.00176164048716515,0.0122049129435435,0.0051265543960944,0,0,0,0,1.47082617153398,0.537778861242003,1.93348744535829,1.14046808349645,0,0,0,0,2440.062378,2.16318571270249,7.44122697771622,6.45257119245608,9.01763953827363,0,5.15223725585923,6.36324973905242,0,4.87122183929743,4.30161067271495,2.06763768889197,0,22.5210217535107,18.5427092914076,0,3.17976960757014,0,0,0,1,0,0,0,0,47,148,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0
"10","burnt",1974.9024233848,0.0104550081979598,11,1.02764090448869,0.0582180222747214,0.0566521068015368,0.0240401983644783,42.4347826086958,7.51408695652181,50.0511304347824,234.031456256454,23.4031456256454,2.4468007937417,1.080350877,5.90437031752461e-05,0.000701509976342747,0.000923685674457959,0.0044754980035171,0.00355181232905914,0.0021320744263007,0.0119718653427626,0.00460373923342679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,42,142,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,42,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
