"","lake","year_loess","depth","ast_formosa","aul_ambigua","sta_venter","tab_flocculosa","pse_elliptica","nav_cryptocephala","nit_perminuta","pin_subanglica","pse_brevistriata","sel_auldrekie","fra_crotonensis","sta_construens","aul_granulata","aul_subarctica","lin_intermedia","tab_fenestrata","ach_minutissimum","fra_mesolepta","sel_nigri","sta_pinnata","sel_saugerresii","dis_pseudostelligera","aul_tenella","pse_brevistriata_inflata","lin_comta","pse_robusta","sed_a","sed_b","sed_c","myxo","allo","diato","lutein","cantha","echine","phaeo_b","pheo_a","b_car"
"1","burnt",2018.2741306454,2,15.25,36.5,15.25,18.75,4.75,0,0,0,0.25,0,3,0,0,0,0.5,0,0.5,0,1,0.5,0.25,0,0,0.75,0.25,0,1.24349002839629,3.73860440809593,3.05453185695176,3.72329000437825,17.7010354510785,12.9293128594317,20.9680056728724,8.11330103824346,4.52884183419895,31.8407523816019,34.5359896960441,7.31190433132552
"2","burnt",2014.22909886214,3,15.25,36.5,15.25,18.75,4.75,0,0,0,0.25,0,3,0,0,0,0.5,0,0.5,0,1,0.5,0.25,0,0,0.75,0.25,0,1.24349002839629,3.73860440809593,3.05453185695176,3.72329000437825,17.7010354510785,12.9293128594317,20.9680056728724,8.11330103824346,4.52884183419895,31.8407523816019,34.5359896960441,7.31190433132552
"3","burnt",2009.98885613295,4,11.75,32.75,22.5,16.5,5.75,0,0,0,0,0,4,0,0,0.25,1.25,0,0,0,1,0,0.5,0,0,1,0,0,0.762685028307098,2.25192286304971,1.73867442111244,2.5195410867622,10.7829755415887,8.62280053193734,12.0031272048876,5.99596610399001,2.14427926424297,19.7477487096432,17.1634895584247,1.896747874104
"4","burnt",2005.56143171556,5,18,35.5,16.5,15.5,3.5,0,0,0,0.25,0,3,0.5,0,0,1,0,0,0,1,1,0.25,0.25,0,0.25,0,0,0.727108135165741,2.08401305897231,1.70343047887825,2.18046852899597,10.5039215228745,7.48827420975933,11.0240250342885,5.67087937328767,2.44474106376781,21.5276189905356,20.7858625448948,3.17811153334607
"5","burnt",2000.94401975649,6,12.25,40.25,15.25,15.25,8.25,0,0,0,0.25,0,2.25,0.25,0,0,0.75,0,0.25,0,1,0,0.25,0.25,0,1,0.25,0,0.601014499417234,2.06621395564138,1.32210705355398,2.34960155680643,10.1492062417536,7.60558605281399,11.39098947909,5.85219512347793,2.76216301135668,28.4628933225513,27.0998250029285,4.89681510908613
"6","burnt",1996.12934758546,7,10.5,30.75,17.75,14.75,13,0,0,0,0,0,3.5,0.5,0,0.25,1,0,0.5,0,0.75,0.75,1,0.25,0,0.5,0,0,0.71344953760136,1.5310022179726,0.592772613112494,3.36406789920841,9.66344535669765,6.75151907184614,11.473846526055,2.60886728443159,2.70741818493364,33.7492042786773,34.1169621454761,5.22479891275627
"7","burnt",1991.11014253217,8,10.5,30.75,17.75,14.75,13,0,0,0,0,0,3.5,0.5,0,0.25,1,0,0.5,0,0.75,0.75,1,0.25,0,0.5,0,0,0.887969180678331,2.14694359874492,1.90429755983537,3.24384261009603,12.3063863985928,10.3422864809227,14.7680558000862,7.31828666605941,1.84593919193765,28.679193850917,20.8510688692588,1.59886716600961
"8","burnt",1985.8976767367,9,12,40.75,16.5,13,5.75,0,0,0,0.25,0,3,0.5,0,0.5,0.75,0,0.25,0,1,0.25,0.75,0,0,0.5,0.25,0,0.506544109518667,1.92312822994791,1.49749851016215,2.70167044055001,8.76090980518152,7.72672569070146,10.5604270661333,5.38879472801743,2.19619445617655,25.274705717003,22.7787241949916,2.68761835546169
"9","burnt",1980.4994260537,10,11.75,37,19,11.75,11.75,0,0,0,0.25,0,2,0.25,0,0.25,0.5,0,0,0,0,0.75,0.25,0.25,0,1,0,0,0.537778861242003,1.93348744535829,1.14046808349645,2.16318571270249,7.44122697771622,6.45257119245608,9.01763953827363,5.15223725585923,2.06763768889197,22.5210217535107,18.5427092914076,3.17976960757014
"10","burnt",1974.9024233848,11,10.5,35.5,24.75,8.5,10.5,0,0,0,0.25,0,1,0.5,0,0.5,0.5,0,0.5,0,0.5,0,1,0.25,0,1,0,0,0.537778861242003,1.93348744535829,1.14046808349645,2.16318571270249,7.44122697771622,6.45257119245608,9.01763953827363,5.15223725585923,2.06763768889197,22.5210217535107,18.5427092914076,3.17976960757014
