"","lake","year_loess","depth","percent_organic","percent_ca_co3","percent_inorg","ex_p","bd_p","na_oh_p","pers_p","labile_o_p","mineral_p","tp_results_mg_p_g","recalcitrant_o_p","concentration_si_o2","ast_formosa","aul_ambigua","aul_granulata","aul_subarctica","fra_crotonensis","lin_comta","nav_cryptocephala","nit_perminuta","pse_elliptica","sel_nigri","sel_saugerresii","sta_construens","sta_pinnata","sta_venter","tab_fenestrata","tab_flocculosa","chl_c1","chl_c2","fuco","sed_a","sed_b","sed_c","diadino","sudan","myxo","allo","diato","lutein","cantha","chl_b","chl_a","chl_ap","echine","phaeo_b","pheo_a","b_car","perc_TOC","perc_TN","TOC_TN_ratio"
"1","burnt",2018.2741306454,2,44.83024691358,7.89583333333364,47.2739197530864,7.96115227993001e-05,0.00247435777859502,0.00153665015876788,0.00805107734745354,0.00651442718868566,0.00229599390669717,0.0220894416612867,0.00918840110574162,256.060363882902,15.25,36.5,0,0,3,0.25,0,0,4.75,1,0.25,0,0.5,15.25,0,18.75,0,0,4.6256008511247,1.24349002839629,3.73860440809593,3.05453185695176,0,2200.621725,3.72329000437825,17.7010354510785,12.9293128594317,20.9680056728724,8.11330103824346,10.3557245458552,16.5147475455449,6.55361319873981,4.52884183419895,31.8407523816019,34.5359896960441,7.31190433132552,24.47,2.56,9.55859375
"2","burnt",2014.22909886214,3,44.4134078212291,8.57513966480563,47.0114525139653,7.96115227993001e-05,0.00247435777859502,0.00153665015876788,0.00805107734745354,0.00651442718868566,0.00229599390669717,0.0220894416612867,0.00918840110574162,256.060363882902,15.25,36.5,0,0,3,0.25,0,0,4.75,1,0.25,0,0.5,15.25,0,18.75,0,0,4.6256008511247,1.24349002839629,3.73860440809593,3.05453185695176,0,2200.621725,3.72329000437825,17.7010354510785,12.9293128594317,20.9680056728724,8.11330103824346,10.3557245458552,16.5147475455449,6.55361319873981,4.52884183419895,31.8407523816019,34.5359896960441,7.31190433132552,24.47,2.56,9.55859375
"3","burnt",2009.98885613295,4,43.8959306204136,8.79866577718446,47.3054036024019,6.70672314744504e-05,0.00169435941121414,0.00130260104220234,0.00736452571907512,0.00606192467687277,0.00190455389545292,0.0186235305977818,0.00759302434056518,259.130285019003,11.75,32.75,0,0.25,4,0,0,0,5.75,1,0.5,0,0,22.5,0,16.5,0,0,2.59203017760568,0.762685028307098,2.25192286304971,1.73867442111244,0,2264.617746,2.5195410867622,10.7829755415887,8.62280053193734,12.0031272048876,5.99596610399001,6.13721801503155,7.51579497587788,4.13415036824212,2.14427926424297,19.7477487096432,17.1634895584247,1.896747874104,24.47,2.56,9.55859375
"4","burnt",2005.56143171556,5,44.2782834850458,8.72340702210603,46.9983094928481,6.5003490646102e-05,0.00141472989389823,0.00120227496691975,0.00694202969450714,0.00573975472758739,0.00183736820857822,0.0171291580891059,0.00687002680147619,261.438644943124,18,35.5,0,0,3,0,0,0,3.5,1,0.25,0.5,1,16.5,0,15.5,0,0,2.46178512082588,0.727108135165741,2.08401305897231,1.70343047887825,0,2407.578003,2.18046852899597,10.5039215228745,7.48827420975933,11.0240250342885,5.67087937328767,5.84105119316286,8.01404338789725,4.241568927082,2.44474106376781,21.5276189905356,20.7858625448948,3.17811153334607,24.47,2.56,9.55859375
"5","burnt",2000.94401975649,6,44.1516709511567,7.74562982005155,48.1026992287917,6.10576278869265e-05,0.0013290809545325,0.00109470211191528,0.00649085400202786,0.00539615189011258,0.00190686997092302,0.0168343964590628,0.00704653390369252,267.364148257724,12.25,40.25,0,0,2.25,0.25,0,0,8.25,1,0.25,0.25,0,15.25,0,15.25,0,0,2.16774128000364,0.601014499417234,2.06621395564138,1.32210705355398,0,2351.974662,2.34960155680643,10.1492062417536,7.60558605281399,11.39098947909,5.85219512347793,5.86874144306095,8.25237596388056,5.02789518809256,2.76216301135668,28.4628933225513,27.0998250029285,4.89681510908613,24.47,2.56,9.55859375
"6","burnt",1996.12934758546,7,44.1361916771755,7.74249684741467,48.1213114754098,6.54534537303959e-05,0.00123104969144993,0.00104522178205178,0.00559171100926904,0.00454648922721726,0.00181650846372133,0.0146210877916003,0.00591636517342963,214.160688499562,10.5,30.75,0,0.25,3.5,0,0,0,13,0.75,1,0.5,0.75,17.75,0,14.75,0,0,2.59047767430707,0.71344953760136,1.5310022179726,0.592772613112494,0,1737.346293,3.36406789920841,9.66344535669765,6.75151907184614,11.473846526055,2.60886728443159,4.5935743858747,7.47804399100896,5.23564785379751,2.70741818493364,33.7492042786773,34.1169621454761,5.22479891275627,24.47,2.56,9.55859375
"7","burnt",1991.11014253217,8,44.030322173089,7.90082122552186,48.0688566013892,5.36376049856515e-05,0.000864123444392728,1.90135243187988e-05,0.00531199650168607,0.00529298297736727,0.00180658847343709,0.0131922011998144,0.0051558551753129,259.925487629609,10.5,30.75,0,0.25,3.5,0,0,0,13,0.75,1,0.5,0.75,17.75,0,14.75,0,0,2.83302632370481,0.887969180678331,2.14694359874492,1.90429755983537,0,1933.022898,3.24384261009603,12.3063863985928,10.3422864809227,14.7680558000862,7.31828666605941,6.8442873980942,7.6637690858911,5.74698367879747,1.84593919193765,28.679193850917,20.8510688692588,1.59886716600961,24.47,2.56,9.55859375
"8","burnt",1985.8976767367,9,43.5833849969005,8.03583384996907,48.3807811531304,6.34400533879036e-05,0.000860980535096701,0.000996654944005267,0.00548875362010799,0.00449209867610272,0.00183930940056355,0.0132801915707064,0.0050277079615503,224.192358034096,12,40.75,0,0.5,3,0.25,0,0,5.75,1,0.75,0.5,0.25,16.5,0,13,0,0,1.87262937063992,0.506544109518667,1.92312822994791,1.49749851016215,0,2281.304007,2.70167044055001,8.76090980518152,7.72672569070146,10.5604270661333,5.38879472801743,5.62728860032844,5.56487679660847,4.54978605250596,2.19619445617655,25.274705717003,22.7787241949916,2.68761835546169,24.47,2.56,9.55859375
"9","burnt",1980.4994260537,10,42.9351121892056,7.99830200121258,49.0665858095818,6.18326253699603e-05,0.000618166172711258,0.000924641281445166,0.00463671926220269,0.00371207798075752,0.00176164048716515,0.0122049129435435,0.0051265543960944,236.320424446187,11.75,37,0,0.25,2,0,0,0,11.75,0,0.25,0.25,0.75,19,0,11.75,0,0,1.47082617153398,0.537778861242003,1.93348744535829,1.14046808349645,0,2440.062378,2.16318571270249,7.44122697771622,6.45257119245608,9.01763953827363,5.15223725585923,6.36324973905242,4.87122183929743,4.30161067271495,2.06763768889197,22.5210217535107,18.5427092914076,3.17976960757014,24.47,2.56,9.55859375
"10","burnt",1974.9024233848,11,42.4347826086958,7.51408695652181,50.0511304347824,5.90437031752461e-05,0.000701509976342747,0.000923685674457959,0.0044754980035171,0.00355181232905914,0.0021320744263007,0.0119718653427626,0.00460373923342679,234.031456256454,10.5,35.5,0,0.5,1,0,0,0,10.5,0.5,1,0.5,0,24.75,0,8.5,0,0,1.47082617153398,0.537778861242003,1.93348744535829,1.14046808349645,0,2440.062378,2.16318571270249,7.44122697771622,6.45257119245608,9.01763953827363,5.15223725585923,6.36324973905242,4.87122183929743,4.30161067271495,2.06763768889197,22.5210217535107,18.5427092914076,3.17976960757014,23.61,2.36,10.0042372881356
